カメラ名,メーカー名,発売年,Wikipedia_URL,統合処理日,年度タグ,重複チェックメモ,センサー種別,解像度,重量,発売年月,ISO感度,連写性能,価格
Arricam,Arricam,2000,https://en.wikipedia.org/wiki/Arricam,2025-08-27T22:49:28.437863,2000,,,,"''ST'' 8.15 kg/17.95 lbs (body with finder); ''LT'' 4 kg/8.8 lbs (body), 5.25 kg/11.56 (body with finder)",,,,
Canon Digital IXUS,Canon,2000,https://en.wikipedia.org/wiki/Canon_Digital_IXUS,2025-08-27T22:49:28.437879,2000,,,,,,,,
Canon EOS 30,Canon,2000,https://en.wikipedia.org/wiki/Canon_EOS_30,2025-08-27T22:49:28.437883,2000,,,,,October 2000,,,
Canon EOS D30,Canon,2000,https://en.wikipedia.org/wiki/Canon_EOS_D30,2025-08-27T22:49:28.437886,2000,,,,,,,,
Olympus C-2100 UZ,Olympus,2000,https://en.wikipedia.org/wiki/Olympus_C-2100_UZ,2025-08-27T22:49:28.437888,2000,,,,,,,,
Olympus C-3000 Zoom,Olympus,2000,https://en.wikipedia.org/wiki/Olympus_C-3000_Zoom,2025-08-27T22:49:28.437891,2000,,,,,,,,
Olympus E-10,Olympus,2000,https://en.wikipedia.org/wiki/Olympus_E-10,2025-08-27T22:49:28.437893,2000,,2/3-inch [[Charge-coupled device|CCD]],"2,240 × 1,680 (4 million)",1050&nbsp;g,,"80, 160, 320",,
Canon EOS-1D,Canon,2001,https://en.wikipedia.org/wiki/Canon_EOS-1D,2025-08-27T22:49:28.964689,2001,,28.7 mm x 19.1 mm [[Charge-coupled device|CCD]],2464 x 1648 (4.15 [[megapixels]]),"1,250g (body only)",December 2001,"200–1600 in 1/3 EV steps, 100 and 3200 in extended mode",,"750,000¥<ref name=""CanonMuseum"">{{cite web|url=http://global.canon/en/c-museum/product/dslr780.html|title=EOS-1D - Canon Camera Museum}}</ref>"
Nikon Coolpix 995,Nikon,2001,https://en.wikipedia.org/wiki/Nikon_Coolpix_995,2025-08-27T22:49:28.964708,2001,,,,,,,,
Nikon Coolpix 5000,Nikon,2001,https://en.wikipedia.org/wiki/Nikon_Coolpix_5000,2025-08-27T22:49:28.964711,2001,,,,,,,,
Nikon FM3A,Nikon,2001,https://en.wikipedia.org/wiki/Nikon_FM3A,2025-08-27T22:49:28.964714,2001,,,,"{{Convert|570|g|abbr=on}}<ref name=""MIR"">{{cite web|url=http://www.mir.com.my/rb/photography/hardwares/classics/nikonfmseries/fm3a/manual/htmls/spec.htm|title=Nikon FM3A SLR Camera|year=2001|last=Foo|first=Lee|accessdate=2008-12-08}}</ref>",2001,ISO 25 to 5000 (DX); ISO 12 to 6400 (manual),,"$820 (chrome finish, body only)"
Olympus Camedia C-700 Ultra Zoom,Olympus,2001,https://en.wikipedia.org/wiki/Olympus_Camedia_C-700_Ultra_Zoom,2025-08-27T22:49:28.964717,2001,,,,,,,,
Olympus E-20,Olympus,2001,https://en.wikipedia.org/wiki/Olympus_E-20,2025-08-27T22:49:28.964719,2001,,<!--[[Kodak]] KAF-8300CE [[Four Thirds System]] FFT-[[Charge-coupled device|CCD]]-->,"2,560 × 1,920 (5.2 million)",1190 g (42 oz),,80 to 320,,
Canon EOS 3000N,Canon,2002,https://en.wikipedia.org/wiki/Canon_EOS_3000N,2025-08-27T22:49:29.486947,2002,,,,,,,,
Canon EOS D60,Canon,2002,https://en.wikipedia.org/wiki/Canon_EOS_D60,2025-08-27T22:49:29.486966,2002,,,,,,,,
Canon EOS-1Ds,Canon,2002,https://en.wikipedia.org/wiki/Canon_EOS-1Ds,2025-08-27T22:49:29.486969,2002,,[[CMOS]],"4,064 × 2,704 (11.1 [[megapixel]]s)",{{cvt|1265|g|oz}} (body only),"{{Start date and age|2002|11|df=yes|br=yes}}<ref name=""museum"">{{cite web|url=http://global.canon/en/c-museum/product/dslr782.html|title=EOS-1Ds |website=Canon Camera Museum}}</ref>","ISO 100 – 1250 in 1/3 stops, plus 50 (L) as option",,
Casio Exilim,Casio,2002,https://en.wikipedia.org/wiki/Casio_Exilim,2025-08-27T22:49:29.486972,2002,,,,,,,,
Fujifilm FinePix S602 Zoom,Fujifilm,2002,https://en.wikipedia.org/wiki/Fujifilm_FinePix_S602_Zoom,2025-08-27T22:49:29.486975,2002,,,,,,,,
Nikon D100,Nikon,2002,https://en.wikipedia.org/wiki/Nikon_D100,2025-08-27T22:49:29.486977,2002,,,,,,,,
Nikon Coolpix 4300,Nikon,2002,https://en.wikipedia.org/wiki/Nikon_Coolpix_4300,2025-08-27T22:49:29.486980,2002,,,,,,,,
Nikon Coolpix 4500,Nikon,2002,https://en.wikipedia.org/wiki/Nikon_Coolpix_4500,2025-08-27T22:49:29.486982,2002,,,,,,,,
Nikon Coolpix 5700,Nikon,2002,https://en.wikipedia.org/wiki/Nikon_Coolpix_5700,2025-08-27T22:49:29.486984,2002,,,,,,,,
Nikon F55,Nikon,2002,https://en.wikipedia.org/wiki/Nikon_F55,2025-08-27T22:49:29.486987,2002,,,,350g (F55/N55),2002,,,
Olympus C-220 Zoom,Olympus,2002,https://en.wikipedia.org/wiki/Olympus_C-220_Zoom,2025-08-27T22:49:29.486989,2002,,,,,,,,
Olympus C-730UZ,Olympus,2002,https://en.wikipedia.org/wiki/Olympus_C-730UZ,2025-08-27T22:49:29.486991,2002,,,,,,,,
Panasonic AG-DVX100,Panasonic,2002,https://en.wikipedia.org/wiki/Panasonic_AG-DVX100,2025-08-27T22:49:29.486993,2002,,"3 × 1/3"" CCDs",,,,,,
Panasonic Lumix DMC-FZ1,Panasonic,2002,https://en.wikipedia.org/wiki/Panasonic_Lumix_DMC-FZ1,2025-08-27T22:49:29.486996,2002,,CCD,1600 x 1200 (2 megapixels),354g including battery,"October 9, 2002",,,
Rollei 35 RF,Rollei,2002,https://en.wikipedia.org/wiki/Rollei_35_RF,2025-08-27T22:49:29.486998,2002,,,,,,,,
Sigma SD9,Sigma,2002,https://en.wikipedia.org/wiki/Sigma_SD9,2025-08-27T22:49:29.487000,2002,,,,,,,,
Sony Cyber-shot DSC-F717,Sony,2002,https://en.wikipedia.org/wiki/Sony_Cyber-shot_DSC-F717,2025-08-27T22:49:29.487003,2002,,,,,,,,
