カメラ名,メーカー名,発売年,Wikipedia_URL,統合処理日,年度タグ,重複チェックメモ,センサー種別,センサーサイズ,解像度,重量,発売年月,ISO感度,連写性能,価格,レンズマウント,記録メディア,Wikipedia要約,画像URL,データ品質スコア
Arricam,Arricam,2000,https://en.wikipedia.org/wiki/Arricam,2025-08-27T22:49:28.437863,2000,,,,,8.15 kg,2000 (ST and LT),,,,,,Arricam is a 35 mm movie camera line manufactured by Arri.,,2
Canon Digital IXUS,Canon,2000,https://en.wikipedia.org/wiki/Canon_Digital_IXUS,2025-08-27T22:49:28.437879,2000,,,,,,,,,,,,"The Digital IXUS (IXY Digital in Japan and PowerShot Digital ELPH in US and Canada) is a series of digital cameras released by Canon. It is a line of ultracompact cameras, originally based on the design of Canon's IXUS/IXY/ELPH line of APS cameras.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Canon_ixus_front.jpg/330px-Canon_ixus_front.jpg,0
Canon EOS 30,Canon,2000,https://en.wikipedia.org/wiki/Canon_EOS_30,2025-08-27T22:49:28.437883,2000,,,,,,October 2000,,,,[[Canon EF lens mount]],,"The Canon EOS 30/33 (also known as the EOS Elan 7e/7) is a single-lens reflex film camera from Canon's EOS series, released in October 2000. This camera is sold in Japan under the name Canon EOS 7. The EOS 30/ELAN 7E has eye controlled focusing while the EOS 33/ELAN 7 does not. Otherwise the two cameras are identical. It was replaced by a minor update with the EOS 30V/ELAN 7N.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Canon_EOS_30_img_1607.jpg/330px-Canon_EOS_30_img_1607.jpg,1
Canon EOS D30,Canon,2000,https://en.wikipedia.org/wiki/Canon_EOS_D30,2025-08-27T22:49:28.437886,2000,,,,,,,,,,,,"The Canon EOS D30 is a discontinued 3.1-megapixel professional digital single lens reflex camera (DSLR) body, initially announced by Canon on May 17, 2000. It is part of the Canon EOS line of cameras and uses the EF lens mount. The EOS D30 was Canon's first ""home grown"" digital SLR. Before that point Canon had a contract with Kodak to rebrand the Kodak 2-megapixel DCS 520 as Canon EOS D2000 and the 6-megapixel DCS 560 as Canon EOS D6000 digital SLRs, which combined Kodak digital backs and Canon ",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Canon_EOS_D30.jpg/330px-Canon_EOS_D30.jpg,0
Olympus C-2100 UZ,Olympus,2000,https://en.wikipedia.org/wiki/Olympus_C-2100_UZ,2025-08-27T22:49:28.437888,2000,,,,,,,,,,,,"The Olympus C-2100 UZ is a digital camera, closely paired with its brother the E-100 RS. 
Both of these cameras are noteworthy because they are the only compact digital cameras ever produced by a company other than Canon, using a Canon lens.  Both cameras have a 10x zoom, ranging from 38 to 380 mm equivalent.  In fact, these were the first compact digital cameras to offer image stabilization by several years. It was also the first camera of its kind to offer f2.8 throughout the focal range.",,0
Olympus C-3000 Zoom,Olympus,2000,https://en.wikipedia.org/wiki/Olympus_C-3000_Zoom,2025-08-27T22:49:28.437891,2000,,,,,,,,,,,,"The Olympus C-3000 Zoom is a self-contained color digital camera system, produced by the Olympus Optical Co., Ltd.",,0
Olympus E-10,Olympus,2000,https://en.wikipedia.org/wiki/Olympus_E-10,2025-08-27T22:49:28.437893,2000,,CCD,,"2,240×1,680",,,,,,,[[CompactFlash]](CF) (Type I) or [[SmartMedia]](SM),"The Olympus E-10 is a digital single-lens reflex camera with a 4.0-megapixel CCD image sensor that was introduced in 2000. Unlike most digital SLRs the camera is not a system camera – its lens is fixed to the body. It has a TTL optical viewfinder, and a 4× optical zoom lens with lens aperture f/2–2.4. Instead of a moving (reflex) mirror a beam splitting fixed (non-reflex) prism is used to split the image between the optical viewfinder and CCD. Thus it was possible to have a live view on the LCD ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Olympus_E-10.jpg/330px-Olympus_E-10.jpg,2
Canon EOS-1D,Canon,2001,https://en.wikipedia.org/wiki/Canon_EOS-1D,2025-08-27T22:49:28.964689,2001,,CCD,28.7×19.1mm,2464×1648,250g,December 2001,,,"750,000¥",,[[CompactFlash]](CF) (Type I or Type II) / max 2GB,"The Canon EOS-1D is a professional digital single-lens reflex camera launched in November 2001 as part of Canon's flagship EOS-1 series. It was the first digital camera in the EOS-1 line, succeeding Canon's final flagship film camera, the 1V. It was also the first professional-level digital camera developed and released entirely by Canon, the previous D2000 being a collaborative effort with Kodak. It has a 1.3x crop factor with a CCDTooltip Charge-coupled device image sensor sourced from Panason",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Canon_EOS-1D.jpg/330px-Canon_EOS-1D.jpg,6
Nikon Coolpix 995,Nikon,2001,https://en.wikipedia.org/wiki/Nikon_Coolpix_995,2025-08-27T22:49:28.964708,2001,,,,,,,,,,,,"The Nikon Coolpix 995 was announced on April 25, 2001, to supersede the Coolpix 990 in the Nikon Coolpix series. Similar in appearance to the 990, changes include a switch to a high-impact plastic case for the lens half of the swivel body, a pop-up flash to reduce red-eye by moving the bulb away from the lens, an increase in zoom capability to 4x, CompactFlash Type II compatibility and use of the EN-EL1 rechargeable Li-ion battery in place of the previous four AA batteries.
The Coolpix 9xx serie",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nikon_Coolpix_995_with_lenscap_off.jpg/330px-Nikon_Coolpix_995_with_lenscap_off.jpg,0
Nikon Coolpix 5000,Nikon,2001,https://en.wikipedia.org/wiki/Nikon_Coolpix_5000,2025-08-27T22:49:28.964711,2001,,,,,,,,,,,,"The Coolpix 5000 (also known as the CP5000 and E5000 in non-U.S. markets) is a 5-megapixel digital camera from Nikon's Coolpix series. It was announced September 18, 2001 for an MSRP of US$1099 and featured several unique features such as a fully articulating 1.8-inch (46 mm) color LCD monitor that tilted and swung to virtually any angle to allow for easier framing of subjects and included audio with its movie mode function that captured 60 seconds of QuickTime video. The Coolpix 5000 is current",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nikon_E5000.jpg/330px-Nikon_E5000.jpg,0
